,Start_Price,End_Price,Change_Pct,Avg_Volume
AAPL,256.0799865722656,255.4600067138672,-0.24210398738968986,61868820.0
GOOGL,252.52999877929688,246.5399932861328,-2.3719975932044157,27323860.0
MSFT,514.4500122070312,511.4599914550781,-0.5812072467693604,17065960.0
TSLA,434.2099914550781,440.3999938964844,1.4255780758666965,94348860.0
